Reference,Solution,d15N-N2O,d15N stdev,d18O-N2O,d18O stdev,Notes
Park et al. 2012,Anthropogenic,-15.6,1.2,32.0,1.3,
Park et al. 2012,Natural,-5.3,0.2,32.0,0.2,
Rahn & Wahlen 2000 (EOS),Terrestrial,-14.3,,22.5,,EOS
Rahn & Wahlen 2000 (EOS),Marine,10.1,,54.4,,EOS
Rahn & Wahlen 2000 (DOS),Terrestrial,-12.0,,29.5,,DOS
Rahn & Wahlen 2000 (DOS),Marine,5.1,,39.0,,DOS
Toyoda et al. 2002,Marine,8.8,,60.7,,
Sowers et al. 2002,Anthropogenic,-7.0,,26.0,,box
Sowers et al. 2002,Anthropogenic,-13.0,,17.0,,box
Röckmann et al. 2003,Anthropogenic,-8.7,,32.3,,Modern anthro+natural
Röckmann et al. 2003,Natural,-6.4,,33.0,,Pre-Industrial
Röckmann et al. 2003,Anthropogenic,-13.5,,30.7,,IPCC2
Röckmann et al. 2003,Anthropogenic,-11.6,,31.4,,IPCC3
Ishijima et al. 2007 (1952-1970),Anthropogenic,-6.7,,31.0,,1952-1970
Ishijima et al. 2007 (1970-2001),Anthropogenic,-19.5,,26.1,,1970-2001
Toyoda et al. 2013,Anthropogenic,-9.84,,35.95,,
